City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
78,Kodiak,US,57.79,-152.4072,19.4,42,75,33.38,broken clouds
79,Georgetown,MY,5.4112,100.3354,91.0,58,20,10.36,few clouds
80,Naze,JP,28.3667,129.4833,66.2,77,75,14.97,broken clouds
81,Ugoofaaru,MV,5.6667,73.0,82.96,72,11,8.77,few clouds
82,Kaeo,NZ,-35.1,173.7833,66.99,85,100,7.0,overcast clouds
83,Mount Barker,AU,-35.0667,138.8667,69.01,61,3,10.96,clear sky
84,Buenos Aires,AR,-34.6132,-58.3772,71.6,94,75,9.22,moderate rain
85,Ayia Galini,GR,35.1,24.6833,55.99,47,31,8.01,scattered clouds
86,Maryville,US,35.7565,-83.9705,64.4,72,75,6.91,broken clouds
87,Oranjemund,NA,-28.55,16.4333,65.68,73,7,7.29,clear sky
88,Cordoba,AR,-31.4135,-64.1811,71.01,94,75,11.5,light rain
89,Beringovskiy,RU,63.05,179.3167,6.66,96,100,8.12,overcast clouds
90,Mogadishu,SO,2.0371,45.3438,86.0,62,40,8.05,scattered clouds
91,Tiarei,PF,-17.5333,-149.3333,80.6,74,20,3.44,light rain
92,Saint-Philippe,RE,-21.3585,55.7679,86.0,58,0,9.22,light rain
93,Zeliezovce,SK,48.0508,18.6542,39.99,71,83,3.0,broken clouds
94,Hermanus,ZA,-34.4187,19.2345,63.0,86,100,4.7,overcast clouds
95,Mataura,NZ,-46.1927,168.8643,52.66,75,0,1.83,clear sky
96,Vao,NC,-22.6667,167.4833,75.4,93,100,24.83,overcast clouds
97,Sakakah,SA,29.9697,40.2064,69.8,30,0,14.97,clear sky
98,Yulara,AU,-25.2406,130.9889,96.8,11,98,5.75,overcast clouds
99,Belmonte,BR,-15.8631,-38.8828,78.8,69,0,8.05,clear sky
100,Plouzane,FR,48.3833,-4.6167,39.2,93,100,3.44,overcast clouds
101,Ust-Ilimsk,RU,58.0006,102.6619,31.42,56,70,10.11,broken clouds
102,Dikson,RU,73.5069,80.5464,13.15,69,100,16.53,overcast clouds
103,Tuatapere,NZ,-46.1333,167.6833,53.76,76,0,1.32,clear sky
104,Boyolangu,ID,-8.1181,111.8935,86.16,68,86,1.57,overcast clouds
105,San Patricio,US,28.017,-97.5169,77.0,83,90,14.97,overcast clouds
106,Karla,EE,59.3723,24.9275,39.0,81,90,18.41,light rain
107,Carutapera,BR,-1.195,-46.02,76.59,91,100,6.93,overcast clouds
108,Hanmer Springs,NZ,-42.5167,172.8167,57.67,64,100,5.53,overcast clouds
109,Vardo,NO,70.3705,31.1107,30.2,100,90,23.02,light snow
110,Geraldton,AU,-28.7667,114.6,91.4,27,26,13.8,scattered clouds
111,Codrington,AU,-38.2667,141.9667,58.46,54,91,13.18,overcast clouds
112,Isangel,VU,-19.55,169.2667,82.4,78,75,5.75,broken clouds
113,Rudbar,AF,30.15,62.6,87.73,7,3,3.62,clear sky
114,Saint George,US,37.1041,-113.5841,62.6,11,1,3.44,clear sky
115,Black Forest,US,39.0131,-104.7008,46.99,31,1,3.44,clear sky
116,Port Elizabeth,ZA,-33.918,25.5701,59.0,100,90,10.36,fog
117,Baykit,RU,61.67,96.37,29.91,63,82,3.78,broken clouds
118,Sitka,US,57.0531,-135.33,37.4,87,90,16.11,snow
119,De-Kastri,RU,51.4667,140.7833,33.94,70,80,7.83,broken clouds
120,Lucapa,AO,-8.4192,20.7447,69.87,88,100,3.96,overcast clouds
121,Lorengau,PG,-2.0226,147.2712,82.33,80,100,10.25,overcast clouds
122,Marrakesh,MA,31.6315,-8.0083,57.2,88,40,4.61,scattered clouds
123,Ponta Do Sol,PT,32.6667,-17.1,57.0,72,20,1.01,few clouds
124,Harper,LR,4.375,-7.7169,79.88,86,99,6.98,overcast clouds
125,Berdigestyakh,RU,62.0989,126.6992,30.2,88,100,7.78,overcast clouds
126,Cabedelo,BR,-6.9811,-34.8339,75.2,100,0,5.75,clear sky
127,Calvinia,ZA,-31.4707,19.776,59.0,36,6,4.61,clear sky
128,Hilo,US,19.7297,-155.09,71.6,68,90,6.91,overcast clouds
129,Barrow,US,71.2906,-156.7887,-14.8,70,1,8.05,clear sky
130,Korla,CN,41.7597,86.1469,62.91,32,23,9.24,few clouds
131,Ilulissat,GL,69.2167,-51.1,33.8,80,75,11.5,light rain
132,Bethel,US,41.3712,-73.414,48.2,76,1,3.44,clear sky
133,Acapulco,MX,16.8634,-99.8901,75.94,71,0,3.96,clear sky
134,Mayo,US,38.8876,-76.5119,55.0,86,100,5.01,overcast clouds
135,Madona,LV,56.8533,26.217,34.93,75,100,13.27,overcast clouds
136,Torbay,CA,47.6666,-52.7314,41.0,100,90,12.66,light intensity drizzle
137,Aklavik,CA,68.2191,-135.0107,-11.2,77,100,13.8,overcast clouds
138,Zemio,CF,5.0314,25.1361,80.49,57,100,6.22,overcast clouds
139,Tabuk,PH,17.4189,121.4443,83.1,59,95,7.76,overcast clouds
140,Kishtwar,IN,33.3167,75.7667,64.87,24,2,3.11,clear sky
141,Nizwa,OM,22.9333,57.5333,89.24,16,0,7.7,clear sky
142,Reinosa,ES,42.9996,-4.138,52.0,76,20,5.14,few clouds
143,Kaitangata,NZ,-46.2817,169.8464,50.29,94,0,1.72,clear sky
144,Verkhoyansk,RU,67.5447,133.385,13.46,79,100,10.31,overcast clouds
145,Worland,US,44.0169,-107.9554,37.99,65,90,9.22,overcast clouds
146,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.28,78,65,11.32,broken clouds
147,Angren,UZ,41.0167,70.1436,62.67,35,22,4.85,few clouds
148,Bloemfontein,ZA,-29.1211,26.214,60.8,72,0,1.14,clear sky
149,Nador,MA,35.174,-2.9287,60.8,82,75,10.36,broken clouds
